drink_name,recipe,recipe_url
The Long Hope,[],http://www.oandoeats.com/home/2015/8/19/the-long-hope
Summer Cantaloupe Cooler,[],https://www.flairprojectsb.com/summer-melon-cooler/
Cantaloupe Margarita,[],http://www.urbanblisslife.com/cocktail-bliss-cantaloupe-margaritas/
Cantaloupe Ginger Cocktail,[],https://lexiscleankitchen.com/cantaloupe-ginger-cocktails/
Frozen Honeydew Daiquiri,[],https://saltedplains.com/frozen-honeydew-daiquiris/
Honey Deuce,"['1 1/2 ounces vodka', '4 ounces lemonade', '1/2 ounce black raspberry liqueur', 'Honeydew melon balls']",https://www.thespruceeats.com/honey-deuce-cocktail-recipe-761079
Japanese Slipper,"['1 ounce melon liqueur', '1 ounce  triple sec', '1 ounce lemon juice', 'Honeydew melon ball']",https://www.thespruceeats.com/japanese-slipper-recipe-759710
Blushing Rose,"['4 ounces Ty Ku liqueur', '2 ounces pomegranate juice', '4 ounces rose nectar', 'Lime wedges']",https://www.thespruceeats.com/blushing-geisha-cocktail-recipe-759603
Tropical Rooibos Cooler,"['1/3 cup rooibos tea', '3 tablespoons pineapple-orange-banana juice', '1 tablespoon lemon zest syrup', '1/4 to 1/3 cup Sparkling Water']",https://www.thespruceeats.com/tropical-rooibos-la-croix-cocktail-4137088
