drink_name,recipe,recipe_url,url_of_image
Joe's Famous Michelada,"['  coarse salt for rim of mug, or as needed ', '  ice cubes ', '¼ teaspoon salt ', '1  lemon, juiced ', '1 dash hot pepper sauce (such as Tabasco®), or to taste ', '½ teaspoon soy sauce ', '1\u2009½ cups tomato and clam juice cocktail (such as Clamato®), or as needed ', '½ cup cold beer ']",https://www.allrecipes.com/recipe/214085/joes-famous-michelada/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3124420.jpg
Flaming Doctor Pepper I,"['1 cup beer ', '1 fluid ounce amaretto liqueur ', '¼ fluid ounce 151 proof rum ']",https://www.allrecipes.com/recipe/24223/flaming-doctor-pepper-i/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3227333.jpg
Beergarita,"['6 (12 fluid ounce) cans or bottles beer ', '1 (12 fluid ounce) can frozen limeade concentrate (such as Minute Maid®) ', '12 fluid ounces tequila ', '6 cups ice cubes ']",https://www.allrecipes.com/recipe/245788/beergarita/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3172282.jpg
"Hop, Skip, and Go Naked","['6 (12 fluid ounce) cans or bottles beer ', '1 (12 fluid ounce) can frozen lemonade concentrate ', '1 pint whiskey ']",https://www.allrecipes.com/recipe/20205/hop-skip-and-go-naked/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F614279.jpg
Coronarita,"['2 (12 fluid ounce) cans or bottles lemon-lime soda, or more to taste ', '1 (12 ounce) bottle Mexican beer (such as Corona®) ', '1 (12 fluid ounce) can frozen limeade concentrate ', '12 fluid ounces tequila ', '  ice ', '2 leaves mint, chopped, or more to taste  (Optional)']",https://www.allrecipes.com/recipe/247217/coronarita/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3649216.jpg
Beer Floats,"['1 cup chocolate stout beer ', '1 scoop coffee ice cream ', '1 pinch unsweetened cocoa powder ', '1 cup Belgian-style raspberry sour beer ', '1 scoop vanilla ice cream ']",https://www.allrecipes.com/recipe/270577/beer-floats/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6348105.jpg
Michelada,"['  coarse salt ', '3 cubes  ice ', '1  lime, juiced ', '1 (12 fluid ounce) can or bottle Mexican beer ', '½ teaspoon steak sauce ', '1 dash cayenne pepper ', '1 dash black pepper ', '1 pinch dried oregano ', '1 pinch dried basil ']",https://www.allrecipes.com/recipe/44395/michelada/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F941715.jpg
Delicious Spicy Micheladas,"['1 (64 ounce) bottle tomato and clam juice cocktail (such as Clamato®) ', '1 (12 fluid ounce) can frozen orange juice concentrate, thawed ', '5  limes, juiced ', '⅓ cup Worcestershire sauce ', '½ cup hot sauce (such as Valentina® or Tabasco®) ', '3 tablespoons ground black pepper ', '1\u2009½ teaspoons cayenne pepper, or to taste ', '2 tablespoons salt ', '  salt for rimming glasses ', '24 wedges lime ', '  ice cubes ', '24 (12 fluid ounce) cans Mexican beer ']",https://www.allrecipes.com/recipe/220261/delicious-spicy-micheladas/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F841984.jpg
JoeDogg's Spicy Red Beer,"['1 (12 fluid ounce) can or bottle beer ', '1 (5.5 ounce) can tomato-vegetable juice cocktail ', '1 dash Louisiana-style hot sauce ', '1 dash Worcestershire sauce ', '1 pinch seasoning salt ']",https://www.allrecipes.com/recipe/20436/joedoggs-spicy-red-beer/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F785178.jpg
Irish Slammer,"['¾ fluid ounce Irish whiskey ', '¾ fluid ounce Irish cream liqueur ', '6 fluid ounces Irish stout beer ']",https://www.allrecipes.com/recipe/22721/irish-slammer/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F667550.jpg
The Brunch Box,"['1 fluid ounce Montenegro amaro liqueur ', '1 fluid ounce freshly squeezed grapefruit juice ', '5 fluid ounces lager beer, chilled ']",https://www.allrecipes.com/recipe/256028/the-brunch-box/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4114242.jpg
Tajin&reg; Michelada,"['1 teaspoon chili-lime seasoning (such as Tajin®) ', '½  lime, cut into 2 wedges ', '  ice as needed ', '¾ teaspoon soy-based liquid seasoning (such as Maggi® Jugo) ', '¾ teaspoon Mexican-style hot sauce (such as Valentina®) ', '3 fluid ounces tomato and clam juice cocktail (such as Clamato®) ', '1 (12 fluid ounce) bottle light Mexican beer (such as Modelo®) ']",https://www.allrecipes.com/recipe/278655/tajin-michelada/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7693002.jpg
Frank the Tank's Red Dragon Ale,"['3 gallons water ', '8 ounces crystal malt ', '4 ounces roasted barley ', '7 pounds pale liquid malt extract ', '1 ounce Fuggles hops ', '½ ounce Fuggles hops ', '½ ounce East Kent Goldings hops ', '¼ teaspoon Irish moss (carrageen) ', '2 gallons cold water ', '1 (.4 ounce) packet Irish ale yeast ', '¾ cup corn sugar (dextrose) ']",https://www.allrecipes.com/recipe/101895/frank-the-tanks-red-dragon-ale/,/img/icons/generic-recipe.svg
Irish Chocolate Stout,"['3 gallons water ', '  2 teaspoons gypsum, divided ', '5 pounds English 2-row pale malt ', '1 pound chocolate malt (dry) ', '4 ounces roasted barley ', '6 ounces black patent malt ', '3 pounds dry malt extract ', '2 ounces Fuggles hops ', '1 ounce Willamette hops ', '1 (.4 ounce) packet Irish ale yeast ', '1 ounce Irish moss ', '5 ounces corn sugar (dextrose) ', '1\u2009½ gallons water ']",https://www.allrecipes.com/recipe/102126/irish-chocolate-stout/,/img/icons/generic-recipe.svg
The Red-Headed Step Child,"['1 pint beer ', '1 (1.5 fluid ounce) jigger whiskey ', '½ (1.5 fluid ounce) jigger grenadine syrup ']",https://www.allrecipes.com/recipe/45761/the-red-headed-step-child/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F971333.jpg
Party Beer,"['4 (12 fluid ounce) cans or bottles light beer ', '2 (12 ounce) cans frozen lemonade concentrate (such as Minute Maid®) ', '12 fluid ounces vodka ']",https://www.allrecipes.com/recipe/245787/party-beer/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3422271.jpg
Irish Stout with Whiskey,"['1 (12 fluid ounce) can or bottle Irish stout beer ', '1 (1.5 fluid ounce) jigger Irish whiskey ']",https://www.allrecipes.com/recipe/22715/irish-stout-with-whiskey/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3369753.jpg
Zima Plus,"['1 (12 fluid ounce) can or bottle clear malt liquor ', '1 (1.5 fluid ounce) jigger blackberry brandy ']",https://www.allrecipes.com/recipe/20508/zima-plus/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4556603.jpg
