drink_name,recipe,recipe_url,url_of_image
Espresso Martini,"['1 1/2 ounces vodka', '3/4 ounce coffee liqueur', '1/4 ounce crème de cacao', '1 ounce\xa0chilled espresso\xa0', 'Garnish: 3 coffee beans']",https://www.thespruceeats.com/espresso-martini-recipe-761050,https://www.thespruceeats.com/thmb/Wr_rbtLhau2S7xewlBhh_KfAdkU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/espresso-martini-recipe-761050-5-5b490046c9e77c0037b55421.jpg
Bacchus Espresso Martini,"['2 ounces vanilla rum ', '1 3/4 ounces coffee liqueur', '1 1/2 ounces coffee', '3 coffee beans']",https://www.thespruceeats.com/bacchus-espresso-martini-760515,https://www.thespruceeats.com/thmb/42R8NlQz7KVR1MQaB6mKvDB2Vuc=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/traditional-italian-drink--the-espresso-martini-650166703-5bfac43d46e0fb00518218a7.jpg
Chocolate Coffee Martini,"['ounces  Irish Cream liqueur', '1 ounce chocolate liqueur, ', '1/2 ounce vodka', '2 ounces brewed coffee', '1/4 cup chocolate ice cream']",https://www.thespruceeats.com/chocolate-coffee-martini-recipe-766122,https://www.thespruceeats.com/thmb/ToMyKfKSRqh2pybnm_gYV-lShDs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chocotini-581ba13a5f9b581c0b274f03.jpg
Coffee Old-Fashioned,"['1 1/2 ounces bourbon whiskey', '1/2 ounce dark crème de cacao liqueur', '1 1/2 ounces water', '1 ounce espresso', '1/4 ounce simple syrup', '2 dashes orange bitters', '3 whole coffee beans']",https://www.thespruceeats.com/coffee-old-fashioned-recipe-761345,https://www.thespruceeats.com/thmb/yDUviECj3HyCghBIG_bJEo8vc9Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/CoffeeOldFashioned-001-5bf32f0546e0fb00514305f4.jpg
Vanilla Latte,"['1 ounce vanilla vodka', '2 ounces cream liqueur', '3 ounces coffee']",https://www.thespruceeats.com/vanilla-latte-cocktail-recipe-761201,https://www.thespruceeats.com/thmb/B2SITbilOmXv9q5zz9zBZYlJVxs=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/vanilla-latte-cocktail-recipe-761201-052-0477be4f620243b4821467a28b865f21.jpg
Dorda Café,"['1 1/2 ounces chocolate liqueur', '1/2 ounce amaretto liqueur', '1 ounce espresso', 'Milk foam']",https://www.thespruceeats.com/dorda-cafe-cocktail-chocolate-and-espresso-759150,https://www.thespruceeats.com/thmb/-r6aXp27ZzmoCyUoNGkhZ8ExpQY=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/DordaCafe-Cocktail-565cd4af5f9b5835e47b427d.jpg
Baileys Irish Ice,"['1 ounce Irish cream liqueur', '1/4 ounce mint chocolate syrup', '1 ounce iced coffee', '2 scoops Guinness  gelato', '1 cup chipped ice', '1 tablespoon espresso', 'Whipped cream', 'Mint sprig']",https://www.thespruceeats.com/baileys-irish-ice-cocktail-759552,https://www.thespruceeats.com/thmb/7zs7wet24O8hLpmytLiVBLuM-Hw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/BaileysIrishIce-103339999-56a1726b5f9b58b7d0bf5d8c.jpg
Wake the Dead,"['1 ounce blanco tequila', '1 ounce coffee liqueur', '1/2 ounce espresso']",https://www.thespruceeats.com/wake-the-dead-recipe-shooter-760796,https://www.thespruceeats.com/thmb/FUj5Cq8B8YIlIaPk4VFWGecP7Fw=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/patron-WakeTheDead-56a173fc3df78cf7726ac577.jpg
