drink_name,recipe,recipe_url,url_of_image
Thai Milk Tea,"['2 tablespoons black tea', '1 pod star anise', '2 pods cardamom', '1/2 cinnamon stick', '1/8 vanilla bean', 'Tamarind to taste, optional', '1/4 teaspoon almond extract', '1 cup water', '1 tablespoon sugar', '1 tablespoon sweetened condensed milk', '2 teaspoons evaporated milk, ']",https://www.thespruceeats.com/real-thai-iced-tea-recipe-765458,https://www.thespruceeats.com/thmb/004QcF6Kd95Q9qLHHUJ5h31OQ-o=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/real-thai-iced-tea-recipe-765458-hero-01-31f363ed2a9443fb8337657f52f704ba.jpg
Indian Spiced Milk Tea (Masala Chai),"['1 1/2 cups ice (roughly 12 to 15 ice cubes)', '1 cup masala chai concentrate', '1/2 cup whole milk', '1-2 teaspoons good quality chocolate or white chocolate syrup (optional)']",https://www.thespruceeats.com/iced-chai-latte-recipe-765441,https://www.thespruceeats.com/thmb/KLNDd2a0pMLf-DML-GYlIAJ_luM=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-171146485-58b268383df78cdcd8e1210a.jpg
British Milk Tea,[],https://www.thespruceeats.com/history-and-types-of-british-tea-435180,https://www.thespruceeats.com/thmb/f_AtjsVN-K9CKv6s4tMiLgF_Img=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/History-and-types-of-British-tea-435180-V4-698332596cf748a2816194545462f23f.gif
Hong Kong Milk Tea,"['2 cups water', '4 tablespoons black tea \xa0leaves, ', '1 (14-ounce) can sweetened condensed milk']",https://www.thespruceeats.com/hong-kong-milk-tea-recipe-766128,https://www.thespruceeats.com/thmb/gVNDENLs3i8PzXCeu4EEWX1MlMA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/hong-kong-milk-tea-recipe-766128-hero-03-e02081cb9c834426818382f766270903.jpg
Milky Bubble Tea,[],https://www.thespruceeats.com/types-of-bubble-tea-766451,https://www.thespruceeats.com/thmb/uxXLHziSsqGVh-l0f9_uV_sBQdE=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/types-of-bubble-tea-766451-hero-01-a6dca4dd096a4d8abdde1a754766f851.jpg
Brown Sugar Milk,"['1 8.8-ounce tapioca pearls', '1 cup dark brown sugar', '1/2 cup water', '1/4 cup tapioca pearls', '1 tablespoon brown sugar syrup,', '1 cup milk', '1 cup ice']",https://www.thespruceeats.com/brown-sugar-milk-4691088,https://www.thespruceeats.com/thmb/CNUczQ5MkB-9iHTxFpghLtoyVec=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/brown-sugar-milk-4691088hero-01-9d89c600bec342e3811608245bcea07a.jpg
Turmeric Milk Tea,"['2 tablespoons ground turmeric', '1/4 cup water', '1 cup milk (or soy milk, or other non-dairy milk substitute)', '1 teaspoon almond oil', '1 teaspoon honey']",https://www.thespruceeats.com/traditional-yogi-turmeric-tea-recipe-3377246,https://www.thespruceeats.com/thmb/2e9g8GRB6kRqDQKyEsd366nTSiU=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/herbal-tea-with-turmeric-638824318-5abdb804ae9ab8003729e696.jpg
Iced Black Tea Latte,"['4 teaspoons breakfast tea leaves (Bolder Breakfast tea leaves or other ""breakfast tea"" blend, such as English Breakfast Tea)', '8 ounces water (boiling)', '2 ounces milk (or milk substitute such as soy, almond, or rice milk)', 'Optional: sweetener (such as honey, agave or vanilla)']",https://www.thespruceeats.com/iced-breakfast-tea-latte-recipe-765439,https://www.thespruceeats.com/thmb/qlGEaKzvBpx958-Krl6lMYCj7Ps=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/iced-latte-5824fc703df78c6f6a7f1bcb.jpg
